"","coID","sales","strata"
"130",8320,7934.168832,1
"131",6729,7951.134279,1
"132",8562,7954.048696,1
"133",6746,8033.142221,1
"134",8537,8092.298426,1
"135",8612,8155.794476,1
"136",5229,8210.155248,1
"137",9097,8246.882755,1
"138",6649,8249.414768,1
"139",7364,8250.225336,1
"140",8333,8281.632625,1
"141",8349,8283.765338,1
"142",5065,8290.903593,1
"143",8489,8307.732309,1
"144",5197,8354.981623,1
"145",6749,8391.7499,1
"146",4851,8482.559561,1
"147",6660,8483.489521,1
"148",9314,8550.595461,1
"149",3043,8558.559084,1
"150",1893,8610.430604,1
"151",5303,8643.278908,1
"152",8502,8669.070966,1
"153",6479,8716.986129,1
"154",8444,8731.74262,1
"155",5617,8756.514496,1
"156",5716,8766.236009,1
"157",5190,8771.572247,1
"158",2599,8793.874339,1
"159",9147,8795.52531,1
"160",2093,8816.10269,1
"161",2128,8821.356716,1
"162",6786,8854.025405,1
"163",6494,8865.517145,1
"164",8366,8924.580362,1
"165",6782,8931.272034,1
"166",5072,9051.206163,1
"167",8638,9067.286875,1
"168",5680,9084.864446,1
"169",6653,9152.403206,1
"170",8622,9168.058992,1
"171",5329,9189.464491,1
"172",2124,9198.502774,1
"173",6818,9226.905172,1
"174",9241,9272.174576,1
"175",6801,9282.417131,1
"176",6553,9366.63301,1
"177",6495,9366.75929,1
"178",6618,9381.070149,1
"179",4988,9384.066224,1
"180",8470,9425.115664,1
"181",8559,9463.740935,1
"182",8645,9475.135806,1
"183",8598,9480.086077,1
"184",2048,9491.030025,1
"185",8512,9548.547705,1
"186",8561,9555.260506,1
"187",8541,9684.090342,1
"188",6551,9686.956485,1
"189",5263,9692.515982,1
"190",5059,9743.182978,1
"191",6725,9744.172718,1
"192",5407,9802.105431,1
"193",5271,9804.64964,1
"194",8429,9879.461094,1
"195",6715,9886.814673,1
"196",7346,9892.497878,1
"197",8342,9957.492973,1
"198",8305,9966.589305,1
"199",6671,10045.68946,1
"200",8553,10046.95571,1
"201",8291,10093.79303,1
"202",8471,10141.67062,1
"203",2125,10257.1915,1
"204",6678,10257.60332,1
"205",2197,10278.53699,1
"206",1948,10281.18147,1
"207",6835,10329.63152,1
"208",4940,10338.06831,1
"209",6697,10359.57613,1
"210",5143,10429.46746,1
"211",6591,10442.96988,1
"212",9150,10502.37726,1
"213",6492,10557.4875,1
"214",8415,10642.44186,1
"215",8608,10702.42346,1
"216",6665,10826.9587,1
"217",2090,10875.11465,1
"218",4989,10960.62461,1
"219",5283,10961.96054,1
"220",6632,10972.67908,1
"221",8391,10989.04129,1
"222",5154,11126.12067,1
"223",8341,11161.34599,1
"224",6486,11187.12533,1
"225",6609,11245.02504,1
"226",2286,11285.13026,1
"227",8492,11320.81597,1
"228",6588,11327.85054,1
"229",8455,11425.06889,1
"230",6529,11441.80916,1
"231",5656,11444.93769,1
"232",8348,11525.83101,1
"233",8438,11550.18346,1
"234",6686,11591.78279,1
"235",8402,11615.6736,1
"236",7399,11640.04398,1
"237",8607,11717.23884,1
"238",6726,11741.94401,1
"239",8533,11802.54709,1
"240",3240,11811.20048,1
"241",5025,11812.48611,1
"242",8372,11834.66341,1
"243",6463,11839.99412,1
"244",2619,11840.93048,1
"245",8420,11848.30121,1
"246",6712,11858.02549,1
"247",4957,11988.7332,1
