"","coID","inventory","strata"
"289",6825,9579.051445,1
"290",3208,9587.587165,1
"291",6680,9597.779783,1
"292",5512,9604.321241,1
"293",2594,9667.263789,1
"294",6517,9691.747811,1
"295",6574,9714.33166,1
"296",8333,9731.344588,1
"297",8480,9757.537053,1
"298",9032,9757.695135,1
"299",7226,9760.071968,1
"300",6787,9764.561148,1
"301",8440,9772.294368,1
"302",3027,9789.338728,1
"303",7215,9789.357424,1
"304",8624,9799.88759,1
"305",6624,9812.617038,1
"306",6558,9832.334324,1
"307",6633,9834.673266,1
"308",9075,9840.53588,1
"309",6734,9861.52667,1
"310",8306,9894.821549,1
"311",9175,9895.969579,1
"312",7445,9897.242155,1
"313",6476,9897.249369,1
"314",5247,9933.579878,1
"315",6749,9952.359212,1
"316",8478,9955.352455,1
"317",7303,9960.306012,1
"318",4744,9996.673601,1
"319",6625,10001.67407,1
"320",4360,10021.54149,1
"321",6744,10056.85331,1
"322",6486,10069.64446,1
"323",8375,10080.78483,1
"324",5098,10123.53768,1
"325",3206,10128.8304,1
"326",8394,10130.87536,1
"327",8561,10169.62177,1
"328",6672,10197.64089,1
"329",3210,10251.06843,1
"330",1311,10305.36766,1
"331",6612,10309.52012,1
"332",8307,10325.101,1
"333",6793,10326.3507,1
"334",7345,10341.86679,1
"335",7241,10357.87352,1
"336",6757,10372.30195,1
"337",6512,10397.14634,1
"338",6630,10404.28851,1
"339",4634,10443.3018,1
"340",8639,10471.40767,1
"341",6684,10472.20394,1
"342",7446,10489.12462,1
"343",7501,10496.4829,1
"344",9155,10527.47298,1
"345",8492,10530.5999,1
"346",7321,10536.94414,1
"347",8349,10542.72257,1
"348",6706,10554.52476,1
"349",9354,10563.3955,1
"350",6728,10580.3596,1
"351",6710,10580.55571,1
"352",8509,10609.99785,1
"353",7471,10623.45592,1
"354",8569,10624.62116,1
"355",8477,10633.79484,1
"356",5676,10641.72259,1
"357",6559,10646.67104,1
"358",7314,10658.25716,1
"359",6655,10728.82689,1
"360",6577,10755.28978,1
"361",6792,10779.80381,1
"362",6606,10780.36242,1
"363",6499,10798.21135,1
"364",7338,10810.8437,1
"365",6737,10813.71864,1
"366",8536,10831.97295,1
"367",9097,10836.75222,1
"368",8434,10856.58594,1
"369",9310,10861.24101,1
"370",9202,10876.6998,1
"371",6746,10898.18989,1
"372",3270,10904.80873,1
"373",4487,10940.18271,1
"374",8552,10948.81854,1
"375",6724,10978.71352,1
"376",8547,10981.00435,1
"377",2053,10981.21784,1
"378",7453,11001.26865,1
"379",8557,11034.8328,1
"380",8637,11054.65494,1
"381",6790,11063.36426,1
"382",7296,11094.30628,1
"383",8551,11101.89327,1
"384",6678,11102.29545,1
"385",9258,11103.10071,1
"386",6702,11159.38859,1
"387",6644,11162.56269,1
"388",7204,11169.10529,1
"389",7258,11174.63922,1
"390",6759,11179.02742,1
"391",6760,11189.99794,1
"392",7267,11225.39512,1
"393",9289,11250.13907,1
"394",6530,11255.35451,1
"395",6668,11342.35365,1
"396",4988,11355.80516,1
"397",7461,11370.76008,1
"398",7460,11374.09155,1
"399",8562,11394.51149,1
"400",6818,11404.35887,1
"401",6493,11409.03592,1
"402",6484,11415.15888,1
"403",6503,11452.40196,1
"404",6540,11456.21723,1
"405",7243,11471.43643,1
"406",3078,11504.57878,1
